Creatures to add:
Orcskull.glb:Animations
ID	NAME	CHANNELS	SAMPLERS	DURATION	KEYFRAMES	SIZE
0	Death	129	129	0.767	698	10.1 KB
1	Duck	129	129	1.667	846	12.58 KB
2	HitReact	129	129	0.6	496	6.91 KB
3	Idle	129	129	1	635	8.97 KB
4	Jump	129	129	0.367	418	5.85 KB
5	Jump_Idle	129	129	0.5	454	6.26 KB
6	Jump_Land	129	129	0.367	418	5.85 KB
7	No	129	129	1.667	895	12.97 KB
8	Punch	129	129	0.867	708	10.24 KB
9	Run	129	129	0.567	578	8.13 KB
10	Walk	129	129	1	751	10.76 KB
11	Wave	129	129	1.667	993	14.54 KB
12	Weapon	129	129	0.867	683	9.96 KB
13	Yes	129	129	1.667	895	12.97 KB
Alien.glb:Animations
ID	NAME	CHANNELS	SAMPLERS	DURATION	KEYFRAMES	SIZE
0	Death	129	129	0.767	698	10.1 KB
1	Duck	129	129	1.667	846	12.65 KB
2	HitReact	129	129	0.6	496	6.98 KB
3	Idle	129	129	1	635	9.04 KB
4	Jump	129	129	0.367	418	5.82 KB
5	Jump_Idle	129	129	0.5	454	6.14 KB
6	Jump_Land	129	129	0.367	418	5.82 KB
7	No	129	129	1.667	895	13.04 KB
8	Punch	129	129	0.867	708	10.26 KB
9	Run	129	129	0.567	578	8.08 KB
10	Walk	129	129	1	751	10.74 KB
11	Wave	129	129	1.667	993	14.61 KB
12	Weapon	129	129	0.867	683	9.96 KB
13	Yes	129	129	1.667	895	
ninja.glb:
Animations
ID	NAME	CHANNELS	SAMPLERS	DURATION	KEYFRAMES	SIZE
0	Death	129	129	0.767	698	10.1 KB
1	Duck	129	129	1.667	846	12.65 KB
2	HitReact	129	129	0.6	496	6.98 KB
3	Idle	129	129	1	635	9.04 KB
4	Jump	129	129	0.367	418	5.82 KB
5	Jump_Idle	129	129	0.5	454	6.23 KB
6	Jump_Land	129	129	0.367	418	5.82 KB
7	No	129	129	1.667	895	13.04 KB
8	Punch	129	129	0.867	708	10.26 KB
9	Run	129	129	0.567	578	8.1 KB
10	Walk	129	129	1	751	10.78 KB
11	Wave	129	129	1.667	993	14.61 KB
12	Weapon	129	129	0.867	683	9.94 KB
13	Yes	129	129	1.667	895	13.04 KB


monkroose.glb:
Animations
ID	NAME	CHANNELS	SAMPLERS	DURATION	KEYFRAMES	SIZE
0	Death	129	129	0.767	698	10.1 KB
1	Duck	129	129	1.667	846	12.55 KB
2	HitReact	129	129	0.6	496	6.88 KB
3	Idle	129	129	1	635	8.94 KB
4	Jump	129	129	0.367	418	5.82 KB
5	Jump_Idle	129	129	0.5	454	6.21 KB
6	Jump_Land	129	129	0.367	418	5.82 KB
7	No	129	129	1.667	895	12.94 KB
8	Punch	129	129	0.867	708	10.24 KB
9	Run	129	129	0.567	578	8.18 KB
10	Walk	129	129	1	751	10.78 KB
11	Wave	129	129	1.667	993	14.51 KB
12	Weapon	129	129	0.867	683	9.94 KB
13	Yes	129	129	1.667	895	12.94 KB

